Title: "SJR.csv"
11783,PST,'RIVER STAGE (feet)'
20081025,0930,0.00
20081025,0945,0.00
20081025,1000,0.00
20081025,1015,0.00
20081025,1030,0.00
20081025,1045,0.00
20081025,1100,0.00
20081025,1115,0.00
20081025,1130,0.00
20081025,1145,0.00
20081025,1200,0.00
20081025,1215,0.00
20081025,1230,0.00
20081025,1245,0.00
20081025,1300,0.00
20081025,1315,0.00
20081025,1330,0.00
20081025,1345,0.00
20081025,1400,0.00
20081025,1415,0.00
20081025,1430,0.00
20081025,1445,0.00
20081025,1500,0.00
20081025,1515,0.00
20081025,1530,0.00
20081025,1545,0.00
20081025,1600,0.00
20081025,1615,0.00
20081025,1630,0.00
20081025,1645,0.00
20081025,1700,0.00
20081025,1715,0.00
20081025,1730,0.00
20081025,1745,0.00
20081025,1800,0.00
20081025,1815,0.00
20081025,1830,0.00
20081025,1845,0.00
20081025,1900,0.00
20081025,1915,0.00
20081025,1930,0.00
20081025,1945,0.00
20081025,2000,0.00
20081025,2015,0.00
20081025,2030,0.00
20081025,2045,0.00
20081025,2100,0.00
20081025,2115,0.00
20081025,2130,0.00
20081025,2145,0.00
20081025,2200,0.00
20081025,2215,0.00
20081025,2230,0.00
20081025,2245,0.00
20081025,2300,0.00
20081025,2315,0.00
20081025,2330,0.00
20081025,2345,0.00
20081026,0000,0.00
20081026,0015,0.00
20081026,0030,0.00
20081026,0045,0.00
20081026,0100,0.00
20081026,0115,0.00
20081026,0130,0.00
20081026,0145,0.00
20081026,0200,0.00
20081026,0215,0.00
20081026,0230,0.00
20081026,0245,0.00
20081026,0300,0.00
20081026,0315,0.00
20081026,0330,0.00
20081026,0345,0.00
20081026,0400,0.00
20081026,0415,0.00
20081026,0430,0.00
20081026,0445,0.00
20081026,0500,0.00
20081026,0515,0.00
20081026,0530,0.00
20081026,0545,0.00
20081026,0600,0.00
20081026,0615,0.00
20081026,0630,0.00
20081026,0645,0.00
20081026,0700,0.00
20081026,0715,0.00
20081026,0730,0.00
20081026,0745,0.00
20081026,0800,0.00
20081026,0815,0.00
20081026,0830,0.00
20081026,0845,0.00
20081026,0900,0.00
20081026,0915,0.00
20081026,0930,0.00
20081026,0945,0.00
20081026,1000,0.00
20081026,1015,0.00
20081026,1030,0.00
20081026,1045,0.00
20081026,1100,0.00
20081026,1115,0.00
20081026,1130,0.00
20081026,1145,0.00
20081026,1200,0.00
20081026,1215,0.00
20081026,1230,0.00
20081026,1245,0.00
20081026,1300,0.00
20081026,1315,0.00
20081026,1330,0.00
20081026,1345,0.00
20081026,1400,0.00
20081026,1415,0.00
20081026,1430,0.00
20081026,1445,0.00
20081026,1500,0.00
20081026,1515,0.00
20081026,1530,0.00
20081026,1545,0.00
20081026,1600,0.00
20081026,1615,0.00
20081026,1630,0.00
20081026,1645,0.00
20081026,1700,0.00
20081026,1715,0.00
20081026,1730,0.00
20081026,1745,0.00
20081026,1800,0.00
20081026,1815,0.00
20081026,1830,0.00
20081026,1845,0.00
20081026,1900,0.00
20081026,1915,0.00
20081026,1930,0.00
20081026,1945,0.00
20081026,2000,0.00
20081026,2015,0.00
20081026,2030,0.00
20081026,2045,0.00
20081026,2100,0.00
20081026,2115,0.00
20081026,2130,0.00
20081026,2145,0.00
20081026,2200,0.00
20081026,2215,0.00
20081026,2230,0.00
20081026,2245,0.00
20081026,2300,0.00
20081026,2315,0.00
20081026,2330,0.00
20081026,2345,0.00
20081027,0000,0.00
20081027,0015,0.00
20081027,0030,0.00
20081027,0045,0.00
20081027,0100,0.00
20081027,0115,0.00
20081027,0130,0.00
20081027,0145,0.00
20081027,0200,0.00
20081027,0215,0.00
20081027,0230,0.00
20081027,0245,0.00
20081027,0300,0.00
20081027,0315,0.00
20081027,0330,0.00
20081027,0345,0.00
20081027,0400,0.00
20081027,0415,0.00
20081027,0430,0.00
20081027,0445,0.00
20081027,0500,0.00
20081027,0515,0.00
20081027,0530,0.00
20081027,0545,0.00
20081027,0600,0.00
20081027,0615,0.00
20081027,0630,0.00
20081027,0645,0.00
20081027,0700,0.00
20081027,0715,0.00
20081027,0730,0.00
20081027,0745,0.00
20081027,0800,0.00
20081027,0815,0.00
20081027,0830,0.00
20081027,0845,0.00
20081027,0900,0.00
20081027,0915,0.00
20081027,0930,0.00
20081027,0945,0.00
20081027,1000,0.00
20081027,1015,0.00
20081027,1030,0.00
20081027,1045,0.00
20081027,1100,0.00
20081027,1115,0.00
20081027,1130,0.00
20081027,1145,0.00
20081027,1200,0.00
20081027,1215,0.00
20081027,1230,0.00
20081027,1245,0.00
20081027,1300,0.00
20081027,1315,0.00
20081027,1330,0.00
20081027,1345,0.00
20081027,1400,0.00
20081027,1415,0.00
20081027,1430,0.00
20081027,1445,0.00
20081027,1500,0.00
20081027,1515,0.00
20081027,1530,0.00
20081027,1545,0.00
20081027,1600,0.00
20081027,1615,0.00
20081027,1630,0.00
20081027,1645,0.00
20081027,1700,0.00
20081027,1715,0.00
20081027,1730,0.00
20081027,1745,0.00
20081027,1800,0.00
20081027,1815,0.00
20081027,1830,0.00
20081027,1845,0.00
20081027,1900,0.00
20081027,1915,0.00
20081027,1930,0.00
20081027,1945,0.00
20081027,2000,0.00
20081027,2015,0.00
20081027,2030,0.00
20081027,2045,0.00
20081027,2100,0.00
20081027,2115,0.00
20081027,2130,0.00
20081027,2145,0.00
20081027,2200,0.00
20081027,2215,0.00
20081027,2230,0.00
20081027,2245,0.00
20081027,2300,0.00
20081027,2315,0.00
20081027,2330,0.00
20081027,2345,0.00
20081028,0000,0.00
20081028,0015,0.00
20081028,0030,0.00
20081028,0045,0.00
20081028,0100,0.00
20081028,0115,0.00
20081028,0130,0.00
20081028,0145,0.00
20081028,0200,0.00
20081028,0215,0.00
20081028,0230,0.00
20081028,0245,0.00
20081028,0300,0.00
20081028,0315,0.00
20081028,0330,0.00
20081028,0345,0.00
20081028,0400,0.00
20081028,0415,0.00
20081028,0430,0.00
20081028,0445,0.00
20081028,0500,0.00
20081028,0515,0.00
20081028,0530,0.00
20081028,0545,0.00
20081028,0600,0.00
20081028,0615,0.00
20081028,0630,0.00
20081028,0645,0.00
20081028,0700,0.00
20081028,0715,0.00
20081028,0730,0.00
20081028,0745,0.00
20081028,0800,0.00
20081028,0815,0.00
20081028,0830,0.00
20081028,0845,0.00
20081028,0900,0.00
20081028,0915,0.00
20081028,0930,0.00
20081028,0945,0.00
20081028,1000,0.00
20081028,1015,0.00
20081028,1030,0.00
20081028,1045,0.00
20081028,1100,0.00
20081028,1115,0.00
20081028,1130,0.00
20081028,1145,0.00
20081028,1200,0.00
20081028,1215,0.00
20081028,1230,0.00
