STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
JER,E,100,EL COND,20191203 0915,20191203 0915,665, ,uS/cm
JER,E,100,EL COND,20191203 0930,20191203 0930,722, ,uS/cm
JER,E,100,EL COND,20191203 0945,20191203 0945,773, ,uS/cm
JER,E,100,EL COND,20191203 1000,20191203 1000,827, ,uS/cm
JER,E,100,EL COND,20191203 1015,20191203 1015,977, ,uS/cm
JER,E,100,EL COND,20191203 1030,20191203 1030,1115, ,uS/cm
JER,E,100,EL COND,20191203 1045,20191203 1045,1288, ,uS/cm
JER,E,100,EL COND,20191203 1100,20191203 1100,1392, ,uS/cm
JER,E,100,EL COND,20191203 1115,20191203 1115,1551, ,uS/cm
JER,E,100,EL COND,20191203 1130,20191203 1130,1622, ,uS/cm
JER,E,100,EL COND,20191203 1145,20191203 1145,1689, ,uS/cm
JER,E,100,EL COND,20191203 1200,20191203 1200,1712, ,uS/cm
JER,E,100,EL COND,20191203 1215,20191203 1215,1692, ,uS/cm
JER,E,100,EL COND,20191203 1230,20191203 1230,1656, ,uS/cm
JER,E,100,EL COND,20191203 1245,20191203 1245,1622, ,uS/cm
JER,E,100,EL COND,20191203 1300,20191203 1300,1570, ,uS/cm
JER,E,100,EL COND,20191203 1315,20191203 1315,1562, ,uS/cm
JER,E,100,EL COND,20191203 1330,20191203 1330,1535, ,uS/cm
JER,E,100,EL COND,20191203 1345,20191203 1345,1570, ,uS/cm
JER,E,100,EL COND,20191203 1400,20191203 1400,1533, ,uS/cm
JER,E,100,EL COND,20191203 1415,20191203 1415,1360, ,uS/cm
JER,E,100,EL COND,20191203 1430,20191203 1430,1163, ,uS/cm
JER,E,100,EL COND,20191203 1445,20191203 1445,1034, ,uS/cm
JER,E,100,EL COND,20191203 1500,20191203 1500,946, ,uS/cm
JER,E,100,EL COND,20191203 1515,20191203 1515,890, ,uS/cm
JER,E,100,EL COND,20191203 1530,20191203 1530,847, ,uS/cm
JER,E,100,EL COND,20191203 1545,20191203 1545,799, ,uS/cm
JER,E,100,EL COND,20191203 1600,20191203 1600,777, ,uS/cm
JER,E,100,EL COND,20191203 1615,20191203 1615,765, ,uS/cm
JER,E,100,EL COND,20191203 1630,20191203 1630,748, ,uS/cm
JER,E,100,EL COND,20191203 1645,20191203 1645,753, ,uS/cm
JER,E,100,EL COND,20191203 1700,20191203 1700,751, ,uS/cm
JER,E,100,EL COND,20191203 1715,20191203 1715,767, ,uS/cm
JER,E,100,EL COND,20191203 1730,20191203 1730,805, ,uS/cm
JER,E,100,EL COND,20191203 1745,20191203 1745,817, ,uS/cm
JER,E,100,EL COND,20191203 1800,20191203 1800,821, ,uS/cm
JER,E,100,EL COND,20191203 1815,20191203 1815,880, ,uS/cm
JER,E,100,EL COND,20191203 1830,20191203 1830,910, ,uS/cm
JER,E,100,EL COND,20191203 1845,20191203 1845,923, ,uS/cm
JER,E,100,EL COND,20191203 1900,20191203 1900,948, ,uS/cm
JER,E,100,EL COND,20191203 1915,20191203 1915,968, ,uS/cm
JER,E,100,EL COND,20191203 1930,20191203 1930,992, ,uS/cm
JER,E,100,EL COND,20191203 1945,20191203 1945,1008, ,uS/cm
JER,E,100,EL COND,20191203 2000,20191203 2000,1065, ,uS/cm
JER,E,100,EL COND,20191203 2015,20191203 2015,1156, ,uS/cm
JER,E,100,EL COND,20191203 2030,20191203 2030,1343, ,uS/cm
JER,E,100,EL COND,20191203 2045,20191203 2045,1444, ,uS/cm
JER,E,100,EL COND,20191203 2100,20191203 2100,1486, ,uS/cm
JER,E,100,EL COND,20191203 2115,20191203 2115,1572, ,uS/cm
JER,E,100,EL COND,20191203 2130,20191203 2130,1586, ,uS/cm
JER,E,100,EL COND,20191203 2145,20191203 2145,1665, ,uS/cm
JER,E,100,EL COND,20191203 2200,20191203 2200,1774, ,uS/cm
JER,E,100,EL COND,20191203 2215,20191203 2215,1659, ,uS/cm
JER,E,100,EL COND,20191203 2230,20191203 2230,1582, ,uS/cm
JER,E,100,EL COND,20191203 2245,20191203 2245,1553, ,uS/cm
